Complemento Histórico	Data da Liquidação	Número de Liquidação	Valor Estornado	Valor Liquidado	credor	empenho
REFERENTE CURSO, CONFORME A NOTA FISCAL 9373,	16/05/2016	315464	-	R$ 1.500,00	4LINUX SOFTWARE E COMERCIO DE PROGRAMAS LTDA	000020
Complemento Histórico	Data da Liquidação	Número de Liquidação	Valor Estornado	Valor Liquidado	credor	empenho
ESTANDE PARA FEIRA DE RESPONSABILIDADE SOCIAL	13/05/2016	320589	-	R$ 3.500,00	8 CULT ARTE VIDEO E REALIZACOES LTDA	000016
Complemento Histórico	Data da Liquidação	Número de Liquidação	Valor Estornado	Valor Liquidado	credor	empenho
DESPESA COM AQUISIÇÃO DE MATERIAL DE EXPEDIENTE ( MATERIAL DE PAPELARIA) PARA ATENDER AS NECESSIDADES DO CRAS PARQUE AEROPORTO, CONFORME NF. N.º 000.000.292, CHAVE DE ACESSO N.º 33160104809615000114550010000002921000002929.	19/02/2016	72313	-	R$ 2.725,94	A & I UTILIDADES DO LAR LTDA	000391
DESPESA COM AQUISIÇÃO DE MATERIAL DE EXPEDIENTE (MATERIAL DE PAPELARIA) PARA ATENDER AS NECESSIDADES DO CRAS AROEIRA, CONFORME NF. N.º 000000289 CHAVE DE ACESSO 33160104809615000114550010000002891000002893.	25/02/2016	82656	-	R$ 2.294,94	A & I UTILIDADES DO LAR LTDA	000392
DESPESA COM AQUISIÇÃO DE MATERIAL DE EXPEDIENTE ( MATERIAL DE PAPELARIA) PARA ATENDER AS NECESSIDADES DO CRAS AROEIRA, CONFORME NF. N.º 000.000.291, CHAVE DE ACESSO N.º 33160104809615000114550010000002911000002913.	19/02/2016	72332	-	R$ 2.684,41	A & I UTILIDADES DO LAR LTDA	000393
Complemento Histórico	Data da Liquidação	Número de Liquidação	Valor Estornado	Valor Liquidado	credor	empenho
NF 776	08/12/2016	675965	-	R$ 1.835,00	A. L. COMERCIO E SERVICOS LTDA-ME	000461
Despesa com pg de proc. 401880/2016, nf 775/774.	13/10/2016	584083	-	R$ 29.717,90	A. L. COMERCIO E SERVICOS LTDA-ME	000703
Despesa com pg de proc. 402258/2016, nf 786.	02/12/2016	663584	-	R$ 5.394,60	A. L. COMERCIO E SERVICOS LTDA-ME	000703
Despesa com pg de proc. 401604/2016, nf 794.	23/11/2016	648587	-	R$ 52.312,50	A. L. COMERCIO E SERVICOS LTDA-ME	000603
Despesa com pg de proc. 401604/2016, nf 795.	23/11/2016	648576	-	R$ 52.312,50	A. L. COMERCIO E SERVICOS LTDA-ME	000604
Despesa com pagamento do processo nº 403010/15, referente à NF Nº 000.000.681.	01/04/2016	226276	-	R$ 12.550,00	A. L. COMERCIO E SERVICOS LTDA-ME	000271
Despesa com pg de proc. 400865/2016, nf 711.	26/04/2016	275930	-	R$ 18.300,00	A. L. COMERCIO E SERVICOS LTDA-ME	000251
Complemento Histórico	Data da Liquidação	Número de Liquidação	Valor Estornado	Valor Liquidado	credor	empenho
LIQUIDACAO CONFORME PARECER DA CONTROLADORIA GERAL RELATIVO A AQUISICAO DE MEDALHAS E SUPORTE DE ACRILICO PARA A SESSAO SOLENE EM COMEMORACAO AO CENTENARIO D ACIM, CONFORME NOTA FISCAL No 012 DE 11/05/2016.	19/05/2016	18173	-	R$ 4.590,00	A.J. MUNIZ EVENTOS - ME	000115
